,Name,Population,Latitude,Longitude
31,Soissons,31100,49.38167,3.32361
37,Schiltigheim,32289,48.60749,7.74931
94,Roanne,39840,46.03624,4.06802
143,Meudon,44652,48.81381,2.235
153,Livry-Gargan,39518,48.9193,2.54305
226,Draguignan,38573,43.53692,6.46458
236,Conflans-Sainte-Honorine,36358,49.00158,2.09694
247,Chartres,43838,48.44685,1.48925
249,Charleville-Mézières,52415,49.7685,4.72487
306,Villeneuve-d'Ascq,62400,50.61669,3.16664
417,Cholet,53160,47.05893,-0.87974
464,Bagnolet,33504,48.86667,2.41667
481,Agen,34367,44.20199,0.62055
483,Lyon 06,52862,45.76788,4.85064
484,Marseille 13,89316,43.31856,5.40836
497,Villenave-d'Ornon,30347,44.77935,-0.56707
585,Puteaux,40646,48.88341,2.23894
595,Perpignan,110706,42.69764,2.89541
630,Meaux,53811,48.96014,2.87885
698,Franconville,34284,48.98333,2.23333
779,Bagneux,38900,48.79565,2.30796
801,Ajaccio,54364,41.91886,8.73812
812,Wattrelos,42826,50.70118,3.21812
877,Saint-Brieuc,52774,48.51513,-2.76838
994,Lille,234475,50.63297,3.05858
1028,Hyères,50487,43.12038,6.12857
1051,Fontenay-sous-Bois,52075,48.85442,2.48268
1056,Évry,51900,48.6328,2.44049
1081,Colmar,65405,48.08078,7.35584
1087,Chelles,46947,48.88109,2.59295
1091,Châteauroux,53301,46.81248,1.69362
1103,Chambéry,61640,45.56628,5.92079
1122,Brest,144899,48.39029,-4.48628
1131,Bondy,48268,48.9018,2.48931
1159,Aix-en-Provence,146821,43.5283,5.44973
1163,Lyon 05,49664,45.76106,4.82677
1164,Marseille 10,51299,43.27889,5.41523
1177,Villeneuve-Saint-Georges,30881,48.73219,2.44925
1194,Tarbes,52106,43.23407,0.07139
1196,Strasbourg,274845,48.58392,7.74553
1197,Stains,32601,48.95,2.38333
1212,Saint-Raphaël,34918,43.42332,6.7735
1223,Saint-Germain-en-Laye,41142,48.89643,2.0904
1233,Rosny-sous-Bois,41627,48.87017,2.4991
1271,Mulhouse,111430,47.75205,7.32866
1337,Saint-Dizier,31918,48.63773,4.94892
1431,La Rochelle,76810,46.16308,-1.15222
1485,Dreux,31058,48.73649,1.36566
1510,Chatou,30091,48.8898,2.15863
1536,Besançon,128426,47.24878,6.01815
1548,Avignon,89769,43.94834,4.80892
1550,Athis-Mons,31225,48.70522,2.39147
1557,Argenteuil,101475,48.94788,2.24744
1579,Montrouge,38708,48.8162,2.31393
1596,Melun,38953,48.5457,2.65356
1656,Garges-lès-Gonesse,39847,48.96791,2.39781
1710,Caluire-et-Cuire,42763,45.79462,4.8464
1731,Béziers,74081,43.34122,3.21402
1748,Annecy,49232,45.90878,6.12565
1751,Amiens,143086,49.9,2.3
1783,Tours,141621,47.39484,0.70398
1849,Romans-sur-Isère,35002,45.0496,5.06602
1897,Vitrolles,38591,43.46,5.24861
1902,Villepinte,37114,48.96203,2.53253
1913,Vénissieux,57584,45.69706,4.88593
1916,Vannes,54020,47.65688,-2.76205
1921,Tourcoing,98656,50.72391,3.16117
1952,Saint-Nazaire,67054,47.27506,-2.2179
1955,Saint-Maur-des-Fossés,75402,48.79395,2.49323
1983,Roubaix,98828,50.69421,3.17456
2027,Montauban,52434,44.01759,1.3542
2062,Le Blanc-Mesnil,48077,48.93872,2.46138
2174,Beauvais,53393,49.43333,2.08333
2197,Antibes,76393,43.58127,7.12487
2203,Alfortville,37290,48.80575,2.4204
2204,Alès,42410,44.12489,4.08082
2225,Villejuif,48048,48.7939,2.35992
2237,Toulouse,493465,43.60426,1.44367
2242,Thonon-les-Bains,31684,46.37049,6.47985
2291,Saint-Denis,96128,48.93564,2.35387
2348,Montélimar,35637,44.55468,4.75469
2374,Maisons-Alfort,53964,48.81171,2.43945
2377,Mâcon,35484,46.31407,4.82823
2417,Haguenau,38721,48.81557,7.79051
2448,Dieppe,35707,49.9216,1.07772
